D/A
b/e
be dependent on/upon
c/o
caf鑼?university
can i help you?
close on/upon
fa?ade
horror film/movie
how about...?
how are you?
how much...?
how old...?
in/with relation to
keep sb./sth. away
the more 闁?the more
turn right/left
two/three dimensional
valentine闁炽儲鐛?day
what about...?
what's the matter?
what's wrong?
